,Title,Year,Rating,Description,Director,Acteurs,Runtime,Genre
75,神鬼傳奇,(1999),"

7.0
","
    At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",Stephen Sommers,Brendan Fraser-Rachel Weisz-John Hannah-Arnold Vosloo,124 min,"
Action, Adventure, Fantasy            "
76,瘋狂麥斯：憤怒道,(2015),"

8.1
","
    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",George Miller,Tom Hardy-Charlize Theron-Nicholas Hoult-Zoë Kravitz,120 min,"
Action, Adventure, Sci-Fi            "
77,Untitled Spider-Man Sequel,(2021),,"
    A continuation of Spider-Man Far From Home",Jon Watts,Zendaya-Tom Holland-Benedict Cumberbatch-Marisa Tomei,,"
Action, Adventure, Sci-Fi            "
78,蜘蛛人：返校日,(2017),"

7.4
","
    Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",Jon Watts,Tom Holland-Michael Keaton-Robert Downey Jr.-Marisa Tomei,133 min,"
Action, Adventure, Sci-Fi            "
79,鋼鐵人,(2008),"

7.9
","
    After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Jon Favreau,Robert Downey Jr.-Gwyneth Paltrow-Terrence Howard-Jeff Bridges,126 min,"
Action, Adventure, Sci-Fi            "
80,天才少女福爾摩斯,(2020),"

6.6
","
    When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.",Harry Bradbeer,Millie Bobby Brown-Henry Cavill-Sam Claflin-Helena Bonham Carter,123 min,"
Action, Adventure, Crime            "
81,神鬼戰士,(2000),"

8.5
","
    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",Ridley Scott,Russell Crowe-Joaquin Phoenix-Connie Nielsen-Oliver Reed,155 min,"
Action, Adventure, Drama            "
82,變種人,(2020),"

5.3
","
    Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",Josh Boone,Maisie Williams-Anya Taylor-Joy-Charlie Heaton-Alice Braga,94 min,"
Action, Horror, Sci-Fi            "
83,賽道狂人,(2019),"

8.1
","
    American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.",James Mangold,Matt Damon-Christian Bale-Jon Bernthal-Caitriona Balfe,152 min,"
Action, Biography, Drama            "
84,X戰警：第一戰,(2011),"

7.7
","
    In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",Matthew Vaughn,James McAvoy-Michael Fassbender-Jennifer Lawrence-Kevin Bacon,131 min,"
Action, Adventure, Sci-Fi            "
85,馬德里金庫盜數90分鐘,(2021),"

7.1
","
    Thom, a genius engineering graduate is interested in the Bank of Spain's safe. The Bank building is more than 100 years old, with no building blueprints available and a security system that...                See full summary »
",Jaume Balagueró,Famke Janssen-Freddie Highmore-Astrid Bergès-Frisbey-Liam Cunningham,118 min,"
Action, Adventure, Thriller            "
86,捍衛任務,(2014),"

7.4
","
    An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.",Chad Stahelski,David Leitch-Keanu Reeves-Michael Nyqvist-Alfie Allen-Willem Dafoe,101 min,"
Action, Crime, Thriller            "
87,Venom: Let There Be Carnage,(2021),,"
    Plot unknown. Sequel to the 2018 film 'Venom'.",Andy Serkis,Tom Hardy-Michelle Williams-Woody Harrelson-Naomie Harris,,"
Action, Horror, Sci-Fi            "
88,終極追殺令,(1994),"

8.5
","
    Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,Jean Reno-Gary Oldman-Natalie Portman-Danny Aiello,110 min,"
Action, Crime, Drama            "
89,歪小子史考特,(2010),"

7.5
","
    In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",Edgar Wright,Michael Cera-Mary Elizabeth Winstead-Kieran Culkin-Anna Kendrick,112 min,"
Action, Comedy, Fantasy            "
90,Without Remorse,(2021),,"
    John Clark, a Navy SEAL, goes on a path to avenge his wife's murder only to find himself inside of a larger conspiracy.",Stefano Sollima,Michael B. Jordan-Jodie Turner-Smith-Jamie Bell-Guy Pearce,,"
Action, Adventure, Crime            "
91,Mission: Impossible 7,(2021),,"
    Seventh entry in the long-running Mission: Impossible series.",Christopher McQuarrie,Vanessa Kirby-Tom Cruise-Rebecca Ferguson-Hayley Atwell,,"
Action, Adventure, Thriller            "
92,蜘蛛人：離家日,(2019),"

7.5
","
    Following the events of 復仇者聯盟：終局之戰 (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",Jon Watts,Tom Holland-Samuel L. Jackson-Jake Gyllenhaal-Marisa Tomei,129 min,"
Action, Adventure, Sci-Fi            "
93,黑暗騎士：黎明昇起,(2012),"

8.4
","
    Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christopher Nolan,Christian Bale-Tom Hardy-Anne Hathaway-Gary Oldman,164 min,"
Action, Adventure            "
94,愛與怪獸,(I) (2020),"

7.0
","
    In a monster-infested world, Joel learns his girlfriend is just 85 miles away. To make the dangerous journey, Joel discovers his inner hero to be with the girl of his dreams.",Michael Matthews,Dylan O'Brien-Jessica Henwick-Michael Rooker-Dan Ewing,109 min,"
Action, Adventure, Comedy            "
95,神力女超人,(2017),"

7.4
","
    When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Patty Jenkins,Gal Gadot-Chris Pine-Robin Wright-Lucy Davis,141 min,"
Action, Adventure, Fantasy            "
96,Twist,(2021),"

4.0
","
    A Modern take on the classic tale of Oliver Twist.",Martin Owen,Dominic Di Tommaso-Lena Headey-Samuel Leakey-Sally Collett,90 min,"
Action, Drama            "
97,倒數反擊,(2020),"

6.0
","
    Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.",Mark Williams,Liam Neeson-Kate Walsh-Jai Courtney-Jeffrey Donovan,99 min,"
Action, Crime, Drama            "
98,美國隊長2：酷寒戰士,(2014),"

7.7
","
    As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",Anthony Russo,Joe Russo-Chris Evans-Samuel L. Jackson-Scarlett Johansson-Robert Redford,136 min,"
Action, Adventure, Sci-Fi            "
99,一級玩家,(2018),"

7.5
","
    When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",Steven Spielberg,Tye Sheridan-Olivia Cooke-Ben Mendelsohn-Lena Waithe,140 min,"
Action, Adventure, Sci-Fi            "
100,星際大戰,(1977),"

8.6
","
    Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,Mark Hamill-Harrison Ford-Carrie Fisher-Alec Guinness,121 min,"
Action, Adventure, Fantasy            "
101,魔戒三部曲：王者再臨,(2003),"

8.9
","
    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",Peter Jackson,Elijah Wood-Viggo Mortensen-Ian McKellen-Orlando Bloom,201 min,"
Action, Adventure, Drama            "
102,星際異攻隊2,(2017),"

7.6
","
    The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",James Gunn,Chris Pratt-Zoe Saldana-Dave Bautista-Vin Diesel,136 min,"
Action, Adventure, Comedy            "
103,活屍大軍,(2021),,"
    Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",Zack Snyder,Dave Bautista-Garret Dillahunt-Ella Purnell-Ana de la Reguera,,"
Action, Horror, Sci-Fi            "
104,X戰警,(2000),"

7.4
","
    In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",Bryan Singer,Patrick Stewart-Hugh Jackman-Ian McKellen-Famke Janssen,104 min,"
Action, Adventure, Sci-Fi            "
105,鬼滅之刃劇場版 無限列車篇,(2020),"

8.3
","
    After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",Haruo Sotozaki,Bryce Papenbrook-Zach Aguilar-Abby Trott-Natsuki Hanae,117 min,"
Animation, Action, Adventure            "
106,侏儸紀公園,(1993),"

8.1
","
    A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.",Steven Spielberg,Sam Neill-Laura Dern-Jeff Goldblum-Richard Attenborough,127 min,"
Action, Adventure, Sci-Fi            "
107,Resident Evil,(2021),,"
    The plot is being kept under wraps. A reboot of the 'Resident Evil' films based on the popular horror video game series by the same name.",Johannes Roberts,Hannah John-Kamen-Kaya Scodelario-Neal McDonough-Tom Hopper,,"
Action, Horror, Mystery            "
108,最後防線,(I) (2013),"

6.5
","
    A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.",Gary Fleder,Jason Statham-James Franco-Winona Ryder-Kate Bosworth,90 min,"
Action, Crime, Thriller            "
109,移動城市：致命引擎,(2018),"

6.1
","
    In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.",Christian Rivers,Hera Hilmar-Robert Sheehan-Hugo Weaving-Jihae,128 min,"
Action, Adventure, Fantasy            "
110,惡獵遊戲,(II) (2020),"

6.5
","
    Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",Craig Zobel,Betty Gilpin-Hilary Swank-Ike Barinholtz-Wayne Duvall,90 min,"
Action, Horror, Thriller            "
111,守護者,(2009),"

7.6
","
    In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Zack Snyder,Jackie Earle Haley-Patrick Wilson-Carla Gugino-Malin Akerman,162 min,"
Action, Drama, Mystery            "
112,星際大戰首部曲：威脅潛伏,(1999),"

6.5
","
    Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",George Lucas,Ewan McGregor-Liam Neeson-Natalie Portman-Jake Lloyd,136 min,"
Action, Adventure, Fantasy            "
113,羅根,(2017),"

8.1
","
    In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,Hugh Jackman-Patrick Stewart-Dafne Keen-Boyd Holbrook,137 min,"
Action, Drama, Sci-Fi            "
114,神鬼奇航：鬼盜船魔咒,(2003),"

8.0
","
    Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski,Johnny Depp-Geoffrey Rush-Orlando Bloom-Keira Knightley,143 min,"
Action, Adventure, Fantasy            "
115,分歧者,(2014),"

6.6
","
    In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",Neil Burger,Shailene Woodley-Theo James-Kate Winslet-Jai Courtney,139 min,"
Action, Adventure, Mystery            "
116,沙丘魔堡,(1984),"

6.5
","
    A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis when they assassinate his father and free their desert world from the emperor's rule.",David Lynch,Kyle MacLachlan-Virginia Madsen-Francesca Annis-Leonardo Cimino,137 min,"
Action, Adventure, Sci-Fi            "
117,野蠻遊戲：全面晉級,(2019),"

6.6
","
    In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",Jake Kasdan,Dwayne Johnson-Jack Black-Kevin Hart-Karen Gillan,123 min,"
Action, Adventure, Comedy            "
118,72小時前哨救援,(2019),"

6.8
","
    A small team of U.S. soldiers battle against hundreds of Taliban fighters in Afghanistan.",Rod Lurie,Scott Eastwood-Caleb Landry Jones-Orlando Bloom-Jack Kesy,123 min,"
Action, Drama, History            "
119,不死軍團,(2020),"

6.6
","
    A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.",Gina Prince-Bythewood,Charlize Theron-KiKi Layne-Matthias Schoenaerts-Marwan Kenzari,125 min,"
Action, Adventure, Fantasy            "
120,星際爭霸戰：浩瀚無垠,(2016),"

7.1
","
    The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",Justin Lin,Chris Pine-Zachary Quinto-Karl Urban-Zoe Saldana,122 min,"
Action, Adventure, Sci-Fi            "
121,追殺艾娃,(IV) (2020),"

5.4
","
    Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival.",Tate Taylor,Jessica Chastain-John Malkovich-Common-Geena Davis,96 min,"
Action, Crime, Drama            "
122,超危險駕駛,(2020),"

6.0
","
    After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",Derrick Borte,Russell Crowe-Caren Pistorius-Gabriel Bateman-Jimmi Simpson,90 min,"
Action, Thriller            "
123,敦克爾克大行動,(2017),"

7.8
","
    Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Christopher Nolan,Fionn Whitehead-Barry Keoghan-Mark Rylance-Tom Hardy,106 min,"
Action, Drama, History            "
124,蜘蛛人：新宇宙,(2018),"

8.4
","
    Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Bob Persichetti,Peter Ramsey-Rodney Rothman-Shameik Moore-Jake Johnson-Hailee Steinfeld-Mahershala Ali,117 min,"
Animation, Action, Adventure            "
125,捍衛戰士,(1986),"

6.9
","
    As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",Tony Scott,Tom Cruise-Tim Robbins-Kelly McGillis-Val Kilmer,110 min,"
Action, Drama            "
126,蟻人,(2015),"

7.3
","
    Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",Peyton Reed,Paul Rudd-Michael Douglas-Corey Stoll-Evangeline Lilly,117 min,"
Action, Adventure, Comedy            "
127,獨行俠,(2013),"

6.4
","
    Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",Gore Verbinski,Johnny Depp-Armie Hammer-William Fichtner-Tom Wilkinson,150 min,"
Action, Adventure, Western            "
128,絕地戰警For Life,(2020),"

6.6
","
    Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.",Adil El Arbi,Bilall Fallah-Will Smith-Martin Lawrence-Vanessa Hudgens-Alexander Ludwig,124 min,"
Action, Comedy, Crime            "
129,玩命再劫,(2017),"

7.6
","
    After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Edgar Wright,Ansel Elgort-Jon Bernthal-Jon Hamm-Eiza González,113 min,"
Action, Crime, Drama            "
130,星際大戰外傳：俠盜一號,(2016),"

7.8
","
    The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.",Gareth Edwards,Felicity Jones-Diego Luna-Alan Tudyk-Donnie Yen,133 min,"
Action, Adventure, Sci-Fi            "
131,星際大戰外傳：韓索羅,(2018),"

6.9
","
    During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",Ron Howard,Alden Ehrenreich-Woody Harrelson-Emilia Clarke-Donald Glover,135 min,"
Action, Adventure, Sci-Fi            "
132,潛艦獵殺令,(2018),"

6.6
","
    An untested American submarine captain teams with U.S. Navy Seals to rescue the Russian president, who has been kidnapped by a rogue general.",Donovan Marsh,Gerard Butler-Gary Oldman-Common-Linda Cardellini,121 min,"
Action, Thriller            "
133,阿凡達,(2009),"

7.8
","
    A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.",James Cameron,Sam Worthington-Zoe Saldana-Sigourney Weaver-Michelle Rodriguez,162 min,"
Action, Adventure, Fantasy            "
134,魔戒二部曲：雙城奇謀,(2002),"

8.7
","
    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,Elijah Wood-Ian McKellen-Viggo Mortensen-Orlando Bloom,179 min,"
Action, Adventure, Drama            "
135,Jurassic World: Dominion,(2022),,"
    Plot kept under wraps.",Colin Trevorrow,Bryce Dallas Howard-Omar Sy-Chris Pratt-Laura Dern,,"
Action, Adventure, Sci-Fi            "
136,STAR WARS：原力覺醒,(2015),"

7.9
","
    As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",J.J. Abrams,Daisy Ridley-John Boyega-Oscar Isaac-Domhnall Gleeson,138 min,"
Action, Adventure, Sci-Fi            "
137,超人：鋼鐵英雄,(2013),"

7.0
","
    An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when other survivors of his home planet invade Earth.",Zack Snyder,Henry Cavill-Amy Adams-Michael Shannon-Diane Lane,143 min,"
Action, Adventure, Sci-Fi            "
138,鋼鐵人3,(2013),"

7.1
","
    When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Shane Black,Robert Downey Jr.-Guy Pearce-Gwyneth Paltrow-Don Cheadle,130 min,"
Action, Adventure, Sci-Fi            "
139,音速小子,(2020),"

6.5
","
    After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",Jeff Fowler,Ben Schwartz-James Marsden-Jim Carrey-Tika Sumpter,99 min,"
Action, Adventure, Comedy            "
140,怒海戰艦,(2020),"

7.0
","
    Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.",Aaron Schneider,Tom Hanks-Elisabeth Shue-Stephen Graham-Matt Helm,91 min,"
Action, Drama, History            "
141,蝙蝠俠：開戰時刻,(2005),"

8.2
","
    After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Christopher Nolan,Christian Bale-Michael Caine-Ken Watanabe-Liam Neeson,140 min,"
Action, Adventure            "
142,金剛,(2005),"

7.2
","
    A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",Peter Jackson,Naomi Watts-Jack Black-Adrien Brody-Thomas Kretschmann,187 min,"
Action, Adventure, Drama            "
143,X戰警：金鋼狼,(2009),"

6.6
","
    The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",Gavin Hood,Hugh Jackman-Liev Schreiber-Ryan Reynolds-Danny Huston,107 min,"
Action, Adventure, Sci-Fi            "
144,蜘蛛人,(2002),"

7.3
","
    When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",Sam Raimi,Tobey Maguire-Kirsten Dunst-Willem Dafoe-James Franco,121 min,"
Action, Adventure, Sci-Fi            "
145,飢餓遊戲：星火燎原,(2013),"

7.5
","
    Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.",Francis Lawrence,Jennifer Lawrence-Josh Hutcherson-Liam Hemsworth-Philip Seymour Hoffman,146 min,"
Action, Adventure, Mystery            "
146,追殺比爾,(2003),"

8.1
","
    After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,Uma Thurman-David Carradine-Daryl Hannah-Michael Madsen,111 min,"
Action, Crime, Drama            "
147,奇異博士,(2016),"

7.5
","
    While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Scott Derrickson,Benedict Cumberbatch-Chiwetel Ejiofor-Rachel McAdams-Benedict Wong,115 min,"
Action, Adventure, Fantasy            "
148,銀翼殺手,(1982),"

8.1
","
    A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Ridley Scott,Harrison Ford-Rutger Hauer-Sean Young-Edward James Olmos,117 min,"
Action, Sci-Fi, Thriller            "
149,魔鬼終結者：黑暗宿命,(2019),"

6.2
","
    An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.",Tim Miller,Linda Hamilton-Arnold Schwarzenegger-Mackenzie Davis-Natalia Reyes,128 min,"
Action, Adventure, Sci-Fi            "
